mouse_gene,human_gene_upper,human_gene,in_bulk,in_sce
Rnf103,RNF103,RNF103,True,True
Rnf11,RNF11,RNF11,True,True
Rnf111,RNF111,RNF111,True,True
Rnf112,RNF112,RNF112,True,True
Rnf114,RNF114,RNF114,True,True
Rnf115,RNF115,RNF115,True,True
Rnf121,RNF121,RNF121,True,True
Rnf122,RNF122,RNF122,True,True
Rnf123,RNF123,RNF123,True,True
Rnf125,RNF125,RNF125,True,True
Rnf126,RNF126,RNF126,True,True
Rnf128,RNF128,RNF128,True,True
Rnf13,RNF13,RNF13,True,True
Rnf130,RNF130,RNF130,True,True
Rnf135,RNF135,RNF135,True,True
Rnf138,RNF138,RNF138,True,True
Rnf139,RNF139,RNF139,True,True
Rnf14,RNF14,RNF14,True,True
Rnf141,RNF141,RNF141,True,True
Rnf144a,RNF144A,RNF144A,True,True
Rnf144b,RNF144B,RNF144B,True,True
Rnf145,RNF145,RNF145,True,True
Rnf146,RNF146,RNF146,True,True
Rnf149,RNF149,RNF149,True,True
Rnf150,RNF150,RNF150,True,True
Rnf152,RNF152,RNF152,True,True
Rnf157,RNF157,RNF157,True,True
Rnf165,RNF165,RNF165,True,True
Rnf166,RNF166,RNF166,True,True
Rnf167,RNF167,RNF167,True,True
Rnf168,RNF168,RNF168,True,True
Rnf169,RNF169,RNF169,True,True
Rnf17,RNF17,RNF17,True,True
Rnf170,RNF170,RNF170,True,True
Rnf180,RNF180,RNF180,True,True
Rnf181,RNF181,RNF181,True,True
Rnf182,RNF182,RNF182,True,True
Rnf183,RNF183,RNF183,True,True
Rnf185,RNF185,RNF185,True,True
Rnf187,RNF187,RNF187,True,True
Rnf19a,RNF19A,RNF19A,True,True
Rnf19b,RNF19B,RNF19B,True,True
Rnf2,RNF2,RNF2,True,True
Rnf20,RNF20,RNF20,True,True
Rnf207,RNF207,RNF207,True,True
Rnf208,RNF208,RNF208,True,True
Rnf212b,RNF212B,RNF212B,False,True
Rnf213,RNF213,RNF213,True,True
Rnf214,RNF214,RNF214,True,True
Rnf215,RNF215,RNF215,True,True
Rnf216,RNF216,RNF216,True,True
Rnf217,RNF217,RNF217,True,True
Rnf219,RNF219,RNF219,True,False
Rnf220,RNF220,RNF220,True,True
Rnf223,RNF223,RNF223,False,True
Rnf227,RNF227,RNF227,False,True
Rnf24,RNF24,RNF24,True,True
Rnf25,RNF25,RNF25,True,True
Rnf26,RNF26,RNF26,True,True
Rnf31,RNF31,RNF31,True,True
Rnf32,RNF32,RNF32,True,True
Rnf34,RNF34,RNF34,True,True
Rnf38,RNF38,RNF38,True,True
Rnf4,RNF4,RNF4,True,True
Rnf40,RNF40,RNF40,True,True
Rnf41,RNF41,RNF41,True,True
Rnf43,RNF43,RNF43,True,True
Rnf44,RNF44,RNF44,True,True
Rnf5,RNF5,RNF5,True,True
Rnf6,RNF6,RNF6,True,True
Rnf7,RNF7,RNF7,True,True
Rnf8,RNF8,RNF8,True,True
Rnft1,RNFT1,RNFT1,True,True
Rnft2,RNFT2,RNFT2,True,True
Rngtt,RNGTT,RNGTT,True,True
Rnh1,RNH1,RNH1,True,True
Rnls,RNLS,RNLS,True,True
Rnmt,RNMT,RNMT,True,True
Rnpc3,RNPC3,RNPC3,True,True
Rnpep,RNPEP,RNPEP,True,True
Rnpepl1,RNPEPL1,RNPEPL1,True,True
Rnps1,RNPS1,RNPS1,True,True
Ro60,RO60,RO60,False,True
Robo1,ROBO1,ROBO1,True,True
Robo2,ROBO2,ROBO2,True,True
Robo3,ROBO3,ROBO3,True,True
Robo4,ROBO4,ROBO4,True,True
Rock1,ROCK1,ROCK1,True,True
Rock2,ROCK2,ROCK2,True,True
Rogdi,ROGDI,ROGDI,True,True
Rom1,ROM1,ROM1,True,True
Romo1,ROMO1,ROMO1,True,True
Ropn1,ROPN1,ROPN1,False,True
Ropn1l,ROPN1L,ROPN1L,True,True
Ror1,ROR1,ROR1,True,True
Ror2,ROR2,ROR2,True,True
Rora,RORA,RORA,True,True
Rorb,RORB,RORB,True,True
Rorc,RORC,RORC,True,True
Rp1,RP1,RP1,True,True
Rp2,RP2,RP2,True,True
Rp9,RP9,RP9,True,True
Rpa1,RPA1,RPA1,True,True
Rpa2,RPA2,RPA2,True,True
Rpa3,RPA3,RPA3,True,True
Rpain,RPAIN,RPAIN,True,True
Rpap1,RPAP1,RPAP1,True,True
Rpap2,RPAP2,RPAP2,True,True
Rpap3,RPAP3,RPAP3,True,True
Rpe,RPE,RPE,True,True
Rpf1,RPF1,RPF1,True,True
Rpf2,RPF2,RPF2,True,True
Rpgr,RPGR,RPGR,True,True
Rpgrip1,RPGRIP1,RPGRIP1,True,True
Rpgrip1l,RPGRIP1L,RPGRIP1L,True,True
Rph3a,RPH3A,RPH3A,True,True
Rph3al,RPH3AL,RPH3AL,True,True
Rpia,RPIA,RPIA,True,True
Rpl10,RPL10,RPL10,True,True
Rpl10a,RPL10A,RPL10A,True,True
Rpl11,RPL11,RPL11,True,True
Rpl12,RPL12,RPL12,True,True
Rpl13,RPL13,RPL13,True,True
Rpl13a,RPL13A,RPL13A,True,True
Rpl14,RPL14,RPL14,True,True
Rpl15,RPL15,RPL15,True,True
Rpl17,RPL17,RPL17,True,True
Rpl18,RPL18,RPL18,True,True
Rpl18a,RPL18A,RPL18A,True,True
Rpl19,RPL19,RPL19,True,True
Rpl21,RPL21,RPL21,True,True
Rpl22,RPL22,RPL22,True,True
Rpl22l1,RPL22L1,RPL22L1,True,True
Rpl23,RPL23,RPL23,True,True
Rpl23a,RPL23A,RPL23A,True,True
Rpl24,RPL24,RPL24,True,True
Rpl26,RPL26,RPL26,True,True
Rpl27,RPL27,RPL27,True,True
Rpl27a,RPL27A,RPL27A,True,True
Rpl28,RPL28,RPL28,True,True
Rpl29,RPL29,RPL29,True,True
Rpl3,RPL3,RPL3,True,True
Rpl30,RPL30,RPL30,True,True
Rpl31,RPL31,RPL31,True,True
Rpl32,RPL32,RPL32,True,True
Rpl34,RPL34,RPL34,True,True
Rpl35,RPL35,RPL35,True,True
Rpl35a,RPL35A,RPL35A,True,True
Rpl36,RPL36,RPL36,True,True
Rpl36a,RPL36A,RPL36A,True,True
Rpl36al,RPL36AL,RPL36AL,True,True
Rpl37,RPL37,RPL37,True,True
Rpl37a,RPL37A,RPL37A,True,True
Rpl38,RPL38,RPL38,True,True
Rpl39,RPL39,RPL39,True,True
Rpl39l,RPL39L,RPL39L,True,True
Rpl3l,RPL3L,RPL3L,False,True
Rpl4,RPL4,RPL4,True,True
Rpl41,RPL41,RPL41,True,True
Rpl5,RPL5,RPL5,True,True
Rpl6,RPL6,RPL6,True,True
Rpl7,RPL7,RPL7,True,True
Rpl7a,RPL7A,RPL7A,True,True
Rpl7l1,RPL7L1,RPL7L1,True,True
Rpl8,RPL8,RPL8,True,True
Rpl9,RPL9,RPL9,True,True
Rplp0,RPLP0,RPLP0,True,True
Rplp1,RPLP1,RPLP1,True,True
Rplp2,RPLP2,RPLP2,True,True
Rpn1,RPN1,RPN1,True,True
Rpn2,RPN2,RPN2,True,True
Rpp14,RPP14,RPP14,True,True
Rpp21,RPP21,RPP21,True,True
Rpp25,RPP25,RPP25,True,True
Rpp25l,RPP25L,RPP25L,True,True
Rpp30,RPP30,RPP30,True,True
Rpp38,RPP38,RPP38,True,True
Rpp40,RPP40,RPP40,True,True
Rprd1a,RPRD1A,RPRD1A,True,True
Rprd1b,RPRD1B,RPRD1B,True,True
Rprd2,RPRD2,RPRD2,True,True
Rprm,RPRM,RPRM,True,True
Rprml,RPRML,RPRML,False,True
Rps10,RPS10,RPS10,True,True
Rps11,RPS11,RPS11,True,True
Rps12,RPS12,RPS12,True,True
Rps13,RPS13,RPS13,True,True
Rps14,RPS14,RPS14,True,True
Rps15,RPS15,RPS15,True,True
Rps15a,RPS15A,RPS15A,True,True
Rps16,RPS16,RPS16,True,True
Rps17,RPS17,RPS17,True,True
Rps18,RPS18,RPS18,True,True
Rps19,RPS19,RPS19,True,True
Rps19bp1,RPS19BP1,RPS19BP1,True,True
Rps2,RPS2,RPS2,True,True
Rps20,RPS20,RPS20,True,True
Rps21,RPS21,RPS21,True,True
Rps23,RPS23,RPS23,True,True
Rps24,RPS24,RPS24,True,True
Rps25,RPS25,RPS25,True,True
Rps26,RPS26,RPS26,True,True
Rps27,RPS27,RPS27,True,True
Rps27a,RPS27A,RPS27A,True,True
Rps27l,RPS27L,RPS27L,True,True
Rps28,RPS28,RPS28,True,True
Rps29,RPS29,RPS29,True,True
Rps3,RPS3,RPS3,True,True
Rps4x,RPS4X,RPS4X,True,True
Rps5,RPS5,RPS5,True,True
Rps6,RPS6,RPS6,True,True
Rps6ka1,RPS6KA1,RPS6KA1,True,True
Rps6ka2,RPS6KA2,RPS6KA2,True,True
Rps6ka3,RPS6KA3,RPS6KA3,True,True
Rps6ka4,RPS6KA4,RPS6KA4,True,True
Rps6ka5,RPS6KA5,RPS6KA5,True,True
Rps6ka6,RPS6KA6,RPS6KA6,True,True
Rps6kb1,RPS6KB1,RPS6KB1,True,True
Rps6kb2,RPS6KB2,RPS6KB2,True,True
Rps6kc1,RPS6KC1,RPS6KC1,True,True
Rps6kl1,RPS6KL1,RPS6KL1,True,True
Rps7,RPS7,RPS7,True,True
Rps8,RPS8,RPS8,True,True
Rps9,RPS9,RPS9,True,True
Rpsa,RPSA,RPSA,True,True
Rptor,RPTOR,RPTOR,True,True
Rpusd1,RPUSD1,RPUSD1,True,True
Rpusd2,RPUSD2,RPUSD2,True,True
Rpusd3,RPUSD3,RPUSD3,True,True
Rpusd4,RPUSD4,RPUSD4,True,True
Rrad,RRAD,RRAD,True,True
Rraga,RRAGA,RRAGA,True,True
Rragb,RRAGB,RRAGB,True,True
Rragc,RRAGC,RRAGC,True,True
Rragd,RRAGD,RRAGD,True,True
Rras,RRAS,RRAS,True,True
Rras2,RRAS2,RRAS2,True,True
Rrbp1,RRBP1,RRBP1,True,True
Rreb1,RREB1,RREB1,True,True
Rrh,RRH,RRH,True,True
Rrm1,RRM1,RRM1,True,True
Rrm2,RRM2,RRM2,False,True
Rrm2b,RRM2B,RRM2B,True,True
Rrn3,RRN3,RRN3,True,True
Rrnad1,RRNAD1,RRNAD1,True,True
Rrp1,RRP1,RRP1,True,True
Rrp12,RRP12,RRP12,True,True
Rrp15,RRP15,RRP15,True,True
Rrp1b,RRP1B,RRP1B,True,True
Rrp36,RRP36,RRP36,True,True
Rrp7a,RRP7A,RRP7A,True,True
Rrp8,RRP8,RRP8,True,True
Rrp9,RRP9,RRP9,True,True
Rrs1,RRS1,RRS1,True,True
Rs1,RS1,RS1,False,True
Rsad1,RSAD1,RSAD1,True,True
Rsad2,RSAD2,RSAD2,True,True
Rsbn1,RSBN1,RSBN1,True,True
Rsbn1l,RSBN1L,RSBN1L,True,True
Rsf1,RSF1,RSF1,True,True
Rsg1,RSG1,RSG1,True,False
Rskr,RSKR,RSKR,False,True
Rsl1d1,RSL1D1,RSL1D1,True,True
Rsl24d1,RSL24D1,RSL24D1,True,True
Rsph1,RSPH1,RSPH1,True,True
Rsph10b,RSPH10B,RSPH10B,True,True
Rsph14,RSPH14,RSPH14,True,True
Rsph4a,RSPH4A,RSPH4A,True,True
Rsph6a,RSPH6A,RSPH6A,False,True
Rsph9,RSPH9,RSPH9,True,True
Rspo1,RSPO1,RSPO1,True,True
Rspo2,RSPO2,RSPO2,True,True
Rspo3,RSPO3,RSPO3,True,True
Rspo4,RSPO4,RSPO4,True,True
Rspry1,RSPRY1,RSPRY1,True,True
Rsrc1,RSRC1,RSRC1,True,True
Rsrc2,RSRC2,RSRC2,True,True
Rsrp1,RSRP1,RSRP1,True,True
Rsu1,RSU1,RSU1,True,True
Rtbdn,RTBDN,RTBDN,True,True
Rtca,RTCA,RTCA,True,True
Rtcb,RTCB,RTCB,True,True
Rtel1,RTEL1,RTEL1,True,True
Rtf1,RTF1,RTF1,True,True
Rtf2,RTF2,RTF2,False,True
Rtkn,RTKN,RTKN,True,True
Rtkn2,RTKN2,RTKN2,True,True
Rtl1,RTL1,RTL1,True,True
Rtl4,RTL4,RTL4,False,True
Rtl5,RTL5,RTL5,False,True
Rtl6,RTL6,RTL6,False,True
Rtl8a,RTL8A,RTL8A,False,True
Rtl8b,RTL8B,RTL8B,False,True
Rtl8c,RTL8C,RTL8C,False,True
Rtn1,RTN1,RTN1,True,True
Rtn2,RTN2,RTN2,True,True
Rtn3,RTN3,RTN3,True,True
Rtn4,RTN4,RTN4,True,True
Rtn4ip1,RTN4IP1,RTN4IP1,True,True
Rtn4r,RTN4R,RTN4R,True,True
Rtn4rl1,RTN4RL1,RTN4RL1,True,True
Rtn4rl2,RTN4RL2,RTN4RL2,True,True
Rtp4,RTP4,RTP4,True,True
Rtraf,RTRAF,RTRAF,False,True
Rttn,RTTN,RTTN,True,True
Rubcn,RUBCN,RUBCN,True,True
Rubcnl,RUBCNL,RUBCNL,False,True
Rufy1,RUFY1,RUFY1,True,True
Rufy2,RUFY2,RUFY2,True,True
Rufy3,RUFY3,RUFY3,True,True
Rundc1,RUNDC1,RUNDC1,True,True
Rundc3a,RUNDC3A,RUNDC3A,True,True
Rundc3b,RUNDC3B,RUNDC3B,True,True
Runx1,RUNX1,RUNX1,True,True
Runx1t1,RUNX1T1,RUNX1T1,True,True
Runx2,RUNX2,RUNX2,True,True
Runx3,RUNX3,RUNX3,True,True
Rusc1,RUSC1,RUSC1,True,True
Rusc2,RUSC2,RUSC2,True,True
Ruvbl1,RUVBL1,RUVBL1,True,True
Ruvbl2,RUVBL2,RUVBL2,True,True
Rwdd1,RWDD1,RWDD1,True,True
Rwdd2a,RWDD2A,RWDD2A,True,True
Rwdd2b,RWDD2B,RWDD2B,True,True
Rwdd3,RWDD3,RWDD3,True,True
Rxfp1,RXFP1,RXFP1,True,True
Rxfp2,RXFP2,RXFP2,True,True
Rxfp3,RXFP3,RXFP3,True,True
Rxra,RXRA,RXRA,True,True
Rxrb,RXRB,RXRB,True,True
Rxrg,RXRG,RXRG,True,True
Rxylt1,RXYLT1,RXYLT1,False,True
Rybp,RYBP,RYBP,True,True
Ryk,RYK,RYK,True,True
Ryr1,RYR1,RYR1,True,True
Ryr2,RYR2,RYR2,True,True
Ryr3,RYR3,RYR3,True,True
S100a1,S100A1,S100A1,True,True
S100a10,S100A10,S100A10,True,True
S100a11,S100A11,S100A11,True,True
S100a13,S100A13,S100A13,True,True
S100a16,S100A16,S100A16,True,True
S100a2,S100A2,S100A2,True,True
S100a3,S100A3,S100A3,False,True
S100a4,S100A4,S100A4,True,True
S100a6,S100A6,S100A6,True,True
S100a8,S100A8,S100A8,True,False
S100a9,S100A9,S100A9,True,False
S100b,S100B,S100B,True,True
S100g,S100G,S100G,False,True
S100pbp,S100PBP,S100PBP,True,True
S1pr1,S1PR1,S1PR1,True,True
S1pr2,S1PR2,S1PR2,True,True
S1pr3,S1PR3,S1PR3,True,True
S1pr4,S1PR4,S1PR4,False,True
S1pr5,S1PR5,S1PR5,True,True
Saa1,SAA1,SAA1,False,True
Saa2,SAA2,SAA2,False,True
Saal1,SAAL1,SAAL1,True,True
Sac3d1,SAC3D1,SAC3D1,True,True
Sacm1l,SACM1L,SACM1L,True,True
Sacs,SACS,SACS,True,True
Sae1,SAE1,SAE1,True,True
Safb,SAFB,SAFB,True,True
Safb2,SAFB2,SAFB2,True,True
Sag,SAG,SAG,False,True
Sall1,SALL1,SALL1,True,True
Sall2,SALL2,SALL2,True,True
Sall3,SALL3,SALL3,True,True
Sall4,SALL4,SALL4,False,True
Samd1,SAMD1,SAMD1,True,True
Samd10,SAMD10,SAMD10,True,True
Samd11,SAMD11,SAMD11,True,True
Samd12,SAMD12,SAMD12,True,True
Samd13,SAMD13,SAMD13,True,True
Samd14,SAMD14,SAMD14,True,True
Samd15,SAMD15,SAMD15,True,True
Samd3,SAMD3,SAMD3,True,True
Samd4b,SAMD4B,SAMD4B,True,True
Samd5,SAMD5,SAMD5,True,True
Samd8,SAMD8,SAMD8,True,True
Samd9l,SAMD9L,SAMD9L,True,True
Samhd1,SAMHD1,SAMHD1,True,True
Samm50,SAMM50,SAMM50,True,True
Samsn1,SAMSN1,SAMSN1,True,True
Sap130,SAP130,SAP130,True,True
Sap18,SAP18,SAP18,True,True
Sap25,SAP25,SAP25,False,True
Sap30,SAP30,SAP30,True,True
Sap30bp,SAP30BP,SAP30BP,True,True
Sap30l,SAP30L,SAP30L,True,True
Sapcd1,SAPCD1,SAPCD1,False,True
Sapcd2,SAPCD2,SAPCD2,True,True
Sar1a,SAR1A,SAR1A,True,True
Sar1b,SAR1B,SAR1B,True,True
Saraf,SARAF,SARAF,True,True
Sardh,SARDH,SARDH,True,True
Sarm1,SARM1,SARM1,True,True
Sarnp,SARNP,SARNP,True,True
Sars,SARS,SARS,True,True
Sars2,SARS2,SARS2,True,True
Sart1,SART1,SART1,True,True
Sart3,SART3,SART3,True,True
Sash1,SASH1,SASH1,True,True
Sash3,SASH3,SASH3,True,True
Sass6,SASS6,SASS6,True,True
Sat1,SAT1,SAT1,True,True
Sat2,SAT2,SAT2,True,True
Satb1,SATB1,SATB1,True,True
Satb2,SATB2,SATB2,True,True
Satl1,SATL1,SATL1,True,True
Sav1,SAV1,SAV1,True,True
Saxo2,SAXO2,SAXO2,True,True
Saysd1,SAYSD1,SAYSD1,True,True
Sbds,SBDS,SBDS,True,True
Sbf1,SBF1,SBF1,True,True
Sbf2,SBF2,SBF2,True,True
Sbk1,SBK1,SBK1,True,True
Sbk2,SBK2,SBK2,False,True
Sbno1,SBNO1,SBNO1,True,True
Sbno2,SBNO2,SBNO2,True,True
Sbsn,SBSN,SBSN,False,True
Sbspon,SBSPON,SBSPON,True,True
Sc5d,SC5D,SC5D,True,True
Scaf1,SCAF1,SCAF1,True,True
Scaf11,SCAF11,SCAF11,True,True
Scaf4,SCAF4,SCAF4,True,True
Scaf8,SCAF8,SCAF8,True,True
Scai,SCAI,SCAI,True,True
Scamp1,SCAMP1,SCAMP1,True,True
Scamp2,SCAMP2,SCAMP2,True,True
Scamp3,SCAMP3,SCAMP3,True,True
Scamp5,SCAMP5,SCAMP5,True,True
Scand1,SCAND1,SCAND1,True,True
Scap,SCAP,SCAP,True,True
Scaper,SCAPER,SCAPER,True,True
Scara3,SCARA3,SCARA3,True,True
Scara5,SCARA5,SCARA5,True,True
Scarb1,SCARB1,SCARB1,True,True
Scarb2,SCARB2,SCARB2,True,True
Scarf1,SCARF1,SCARF1,True,True
Scarf2,SCARF2,SCARF2,True,True
Sccpdh,SCCPDH,SCCPDH,True,True
Scel,SCEL,SCEL,True,True
Scfd1,SCFD1,SCFD1,True,True
Scfd2,SCFD2,SCFD2,True,True
Scg2,SCG2,SCG2,True,True
Scg3,SCG3,SCG3,True,True
Scg5,SCG5,SCG5,True,True
Scgb3a1,SCGB3A1,SCGB3A1,False,True
Schip1,SCHIP1,SCHIP1,True,True
Scimp,SCIMP,SCIMP,True,True
Scin,SCIN,SCIN,True,True
Sclt1,SCLT1,SCLT1,True,True
Scly,SCLY,SCLY,True,True
Scmh1,SCMH1,SCMH1,True,True
Scml2,SCML2,SCML2,True,True
Scml4,SCML4,SCML4,True,True
Scn1a,SCN1A,SCN1A,True,True
Scn1b,SCN1B,SCN1B,True,True
Scn2a,SCN2A,SCN2A,True,True
Scn2b,SCN2B,SCN2B,True,True
Scn3a,SCN3A,SCN3A,True,True
Scn3b,SCN3B,SCN3B,True,True
Scn4b,SCN4B,SCN4B,True,True
Scn5a,SCN5A,SCN5A,True,True
Scn7a,SCN7A,SCN7A,True,True
Scn8a,SCN8A,SCN8A,True,True
Scn9a,SCN9A,SCN9A,True,True
Scnm1,SCNM1,SCNM1,True,True
Scnn1a,SCNN1A,SCNN1A,True,True
Sco1,SCO1,SCO1,True,True
Sco2,SCO2,SCO2,True,True
Scoc,SCOC,SCOC,True,True
Scp2,SCP2,SCP2,True,True
Scpep1,SCPEP1,SCPEP1,True,True
Scrg1,SCRG1,SCRG1,True,True
Scrib,SCRIB,SCRIB,True,True
Scrn1,SCRN1,SCRN1,True,True
Scrn2,SCRN2,SCRN2,True,True
Scrn3,SCRN3,SCRN3,True,True
Scrt1,SCRT1,SCRT1,True,True
Scrt2,SCRT2,SCRT2,True,True
Sct,SCT,SCT,False,True
Sctr,SCTR,SCTR,False,True
Scube1,SCUBE1,SCUBE1,True,True
Scube2,SCUBE2,SCUBE2,True,True
Scube3,SCUBE3,SCUBE3,True,True
Scx,SCX,SCX,True,True
Scyl1,SCYL1,SCYL1,True,True
Scyl2,SCYL2,SCYL2,True,True
Scyl3,SCYL3,SCYL3,True,True
Sdad1,SDAD1,SDAD1,True,True
Sdc1,SDC1,SDC1,True,True
Sdc2,SDC2,SDC2,True,True
Sdc3,SDC3,SDC3,True,True
Sdc4,SDC4,SDC4,True,True
Sdcbp,SDCBP,SDCBP,True,True
Sdcbp2,SDCBP2,SDCBP2,True,True
Sdccag3,SDCCAG3,SDCCAG3,True,False
Sdccag8,SDCCAG8,SDCCAG8,True,True
Sde2,SDE2,SDE2,True,True
Sdf2,SDF2,SDF2,True,True
Sdf2l1,SDF2L1,SDF2L1,True,True
Sdf4,SDF4,SDF4,True,True
Sdha,SDHA,SDHA,True,True
Sdhaf1,SDHAF1,SDHAF1,True,True
Sdhaf2,SDHAF2,SDHAF2,True,True
Sdhaf3,SDHAF3,SDHAF3,True,True
Sdhaf4,SDHAF4,SDHAF4,True,True
Sdhb,SDHB,SDHB,True,True
Sdhc,SDHC,SDHC,True,True
Sdhd,SDHD,SDHD,True,True
Sdk1,SDK1,SDK1,True,True
Sdk2,SDK2,SDK2,True,True
Sdr39u1,SDR39U1,SDR39U1,True,True
Sdr42e1,SDR42E1,SDR42E1,True,True
Sdr9c7,SDR9C7,SDR9C7,False,True
Sdsl,SDSL,SDSL,True,True
Sec11a,SEC11A,SEC11A,True,True
Sec11c,SEC11C,SEC11C,True,True
Sec13,SEC13,SEC13,True,True
Sec14l1,SEC14L1,SEC14L1,True,True
Sec14l2,SEC14L2,SEC14L2,True,True
Sec14l4,SEC14L4,SEC14L4,True,True
Sec14l5,SEC14L5,SEC14L5,True,True
Sec16a,SEC16A,SEC16A,True,True
Sec16b,SEC16B,SEC16B,True,True
Sec22a,SEC22A,SEC22A,True,True
Sec22b,SEC22B,SEC22B,True,True
Sec22c,SEC22C,SEC22C,True,True
Sec23a,SEC23A,SEC23A,True,True
Sec23b,SEC23B,SEC23B,True,True
Sec23ip,SEC23IP,SEC23IP,True,True
Sec24a,SEC24A,SEC24A,True,True
Sec24b,SEC24B,SEC24B,True,True
Sec24c,SEC24C,SEC24C,True,True
Sec24d,SEC24D,SEC24D,True,True
Sec31a,SEC31A,SEC31A,True,True
Sec31b,SEC31B,SEC31B,True,True
Sec61a1,SEC61A1,SEC61A1,True,True
Sec61a2,SEC61A2,SEC61A2,True,True
Sec61b,SEC61B,SEC61B,True,True
Sec61g,SEC61G,SEC61G,True,True
Sec62,SEC62,SEC62,True,True
Sec63,SEC63,SEC63,True,True
Secisbp2,SECISBP2,SECISBP2,True,True
Secisbp2l,SECISBP2L,SECISBP2L,True,True
Seh1l,SEH1L,SEH1L,True,True
Sel1l,SEL1L,SEL1L,True,True
Sel1l2,SEL1L2,SEL1L2,False,True
Sel1l3,SEL1L3,SEL1L3,True,True
Sele,SELE,SELE,True,True
Selenbp1,SELENBP1,SELENBP1,True,True
Selenof,SELENOF,SELENOF,False,True
Selenoh,SELENOH,SELENOH,False,True
Selenoi,SELENOI,SELENOI,False,True
Selenok,SELENOK,SELENOK,False,True
Selenom,SELENOM,SELENOM,False,True
Selenon,SELENON,SELENON,False,True
Selenoo,SELENOO,SELENOO,False,True
Selenop,SELENOP,SELENOP,False,True
Selenos,SELENOS,SELENOS,False,True
Selenot,SELENOT,SELENOT,False,True
Selenov,SELENOV,SELENOV,False,True
Selenow,SELENOW,SELENOW,False,True
Selplg,SELPLG,SELPLG,True,True
Sem1,SEM1,SEM1,False,True
Sema3a,SEMA3A,SEMA3A,True,True
Sema3b,SEMA3B,SEMA3B,True,True
Sema3c,SEMA3C,SEMA3C,True,True
Sema3d,SEMA3D,SEMA3D,True,True
Sema3e,SEMA3E,SEMA3E,True,True
Sema3f,SEMA3F,SEMA3F,True,True
Sema3g,SEMA3G,SEMA3G,True,True
Sema4a,SEMA4A,SEMA4A,True,True
Sema4b,SEMA4B,SEMA4B,True,True
Sema4c,SEMA4C,SEMA4C,True,True
Sema4d,SEMA4D,SEMA4D,True,True
Sema4f,SEMA4F,SEMA4F,True,True
Sema4g,SEMA4G,SEMA4G,True,True
Sema5a,SEMA5A,SEMA5A,True,True
Sema5b,SEMA5B,SEMA5B,True,True
Sema6a,SEMA6A,SEMA6A,True,True
Sema6b,SEMA6B,SEMA6B,True,True
Sema6c,SEMA6C,SEMA6C,True,True
Sema6d,SEMA6D,SEMA6D,True,True
Sema7a,SEMA7A,SEMA7A,True,True
Senp1,SENP1,SENP1,True,True
Senp2,SENP2,SENP2,True,True
Senp3,SENP3,SENP3,True,True
Senp5,SENP5,SENP5,True,True
Senp6,SENP6,SENP6,True,True
Senp7,SENP7,SENP7,True,True
Senp8,SENP8,SENP8,True,True
Sephs1,SEPHS1,SEPHS1,True,True
Sephs2,SEPHS2,SEPHS2,True,True
Sepsecs,SEPSECS,SEPSECS,True,True
Sept1,SEPT1,SEPT1,True,False
Sept10,SEPT10,SEPT10,True,False
Sept11,SEPT11,SEPT11,True,False
Sept2,SEPT2,SEPT2,True,False
Sept3,SEPT3,SEPT3,True,False
Sept4,SEPT4,SEPT4,True,False
Sept5,SEPT5,SEPT5,True,False
Sept6,SEPT6,SEPT6,True,False
Sept7,SEPT7,SEPT7,True,False
Sept8,SEPT8,SEPT8,True,False
Sept9,SEPT9,SEPT9,True,False
Serac1,SERAC1,SERAC1,True,True
Serbp1,SERBP1,SERBP1,True,True
Serf2,SERF2,SERF2,True,True
Sergef,SERGEF,SERGEF,True,True
Serhl,SERHL,SERHL,True,False
Serinc1,SERINC1,SERINC1,True,True
Serinc2,SERINC2,SERINC2,True,True
Serinc3,SERINC3,SERINC3,True,True
Serinc4,SERINC4,SERINC4,True,True
Serinc5,SERINC5,SERINC5,True,True
Serp1,SERP1,SERP1,True,True
Serp2,SERP2,SERP2,True,True
Serpinb8,SERPINB8,SERPINB8,True,True
Serpinb9,SERPINB9,SERPINB9,True,True
Serpinc1,SERPINC1,SERPINC1,False,True
Serpind1,SERPIND1,SERPIND1,True,True
Serpine1,SERPINE1,SERPINE1,True,True
Serpine2,SERPINE2,SERPINE2,True,True
Serpine3,SERPINE3,SERPINE3,False,True
Serpinf1,SERPINF1,SERPINF1,True,True
Serpinf2,SERPINF2,SERPINF2,True,True
Serping1,SERPING1,SERPING1,True,True
Serpinh1,SERPINH1,SERPINH1,True,True
Serpini1,SERPINI1,SERPINI1,True,True
Serpini2,SERPINI2,SERPINI2,True,True
Sertad1,SERTAD1,SERTAD1,True,True
Sertad2,SERTAD2,SERTAD2,True,True
Sertad3,SERTAD3,SERTAD3,True,True
Sertad4,SERTAD4,SERTAD4,True,True
Sertm1,SERTM1,SERTM1,True,True
Sesn1,SESN1,SESN1,True,True
Sesn2,SESN2,SESN2,True,True
Sesn3,SESN3,SESN3,True,True
Sestd1,SESTD1,SESTD1,True,True
Set,SET,SET,True,True
Setbp1,SETBP1,SETBP1,True,True
Setd1a,SETD1A,SETD1A,True,True
Setd1b,SETD1B,SETD1B,True,True
Setd2,SETD2,SETD2,True,True
Setd3,SETD3,SETD3,True,True
Setd4,SETD4,SETD4,True,True
Setd5,SETD5,SETD5,True,True
Setd6,SETD6,SETD6,True,True
Setd7,SETD7,SETD7,True,True
